temperature,seed,consistency_ratio,ci_margin
0.0,original,1.0,
0.0,89250,1.0,
0.0,773956,1.0,
0.0,654571,1.0,
0.0,438878,1.0,
0.0,aggregate,1.0,0.0
0.2,original,1.0,
0.2,89250,1.0,
0.2,773956,1.0,
0.2,654571,1.0,
0.2,438878,1.0,
0.2,aggregate,1.0,0.0
0.4,original,1.0,
0.4,89250,1.0,
0.4,773956,1.0,
0.4,654571,1.0,
0.4,438878,1.0,
0.4,aggregate,1.0,0.0
0.6,original,1.0,
0.6,89250,1.0,
0.6,773956,1.0,
0.6,654571,1.0,
0.6,438878,1.0,
0.6,aggregate,1.0,0.0
0.8,original,0.9994000315666198,
0.8,89250,0.9998000144958497,
0.8,773956,0.9998000144958497,
0.8,654571,0.9997000098228455,
0.8,438878,0.9996000289916992,
0.8,aggregate,0.9996600198745726,0.00020775993298366156
